Unnamed: 0,ticker,risk,return,value
0,LMB,0.665555397745964,2.45967736198304,0.006500000000000001
1,GECCM,0.0117332202251645,0.202107346279615,3.4950866173639984e-05
2,OXBR,0.81053226704833,2.0405405013556,0.0064
3,LIVE,0.630844100227563,3.72954206570089,0.005699999999999999
4,NVEE,0.330512695490454,1.61096954511547,0.0046
5,ANAB,0.468864449187136,0.520464148663662,4.913382636004461e-05
6,FNK,0.430868620950918,0.331227723807535,0.0076
7,ADRA,0.0262797047435996,0.0897369189585047,1.013068584743188e-05
8,HDSN,0.262239439000716,9.52577292474453,0.009300000000000001
9,GNPX,0.775387267371894,3.32352945043554,0.008199999999999999
10,PLUS,0.284411744479338,0.171294088924632,0.0076
11,PIZ,0.405818591556792,0.0314661080571035,0.0008
12,LANC,0.394168659869175,0.19428714136766,0.0064
13,MRUS,0.518858863193706,0.106382975845256,0.0031
14,IGF,0.300323947915559,0.0035350003827389,0.0024
15,VIRC,0.548001982501686,0.139534855353118,4.457501772870027e-05
16,LNGR,0.148413400052555,0.194985487450361,0.0026
17,FNCB,0.285201700645252,0.0212234795800594,8.104548677945504e-06
18,ARTW,0.673250499563896,0.36612018654234,2.1274440279606945e-05
19,SGRY,0.644241150532304,1.07759710350363,0.0049
20,CRAI,0.38693227715798,1.17297493731976,0.0064
21,AVHI,0.0020262922311292,0.0609136451328628,0.0042
22,ESGD,0.327092718872789,0.0359514551973568,0.0034000000000000002
23,IBB,0.325855351744248,0.125721348856792,3.748353763549795e-05
24,RYTM,0.908074242584484,0.181936089147202,3.545740046601157e-05
25,GOLD,0.582278038851688,0.0448957880112887,1.67156316482626e-05
26,BL,0.603017704879153,0.379177893925186,8.611082970317097e-06
27,HEES,0.569423920999721,0.510537294866599,0.0054
28,CHMG,0.385553717438574,0.221596309378765,3.9509674804984335e-05
29,FCBC,0.391971083066592,0.0497255099232324,0.001
30,RDVT,0.567607207833069,0.270710891603466,0.0016
31,ATSG,0.291320235978941,0.197546539630575,0.0001
32,HMNF,0.341440746413373,0.0220037125432814,2.076790598723535e-05
33,SBAC,0.337246105737651,0.233796418452385,0.005
34,RBBN,0.759176673106039,0.132258096272195,4.4068483436328674e-05
35,AZPN,0.230924613819555,0.626565152867613,0.0045000000000000005
36,PLPC,0.265135346826897,0.458794433427358,4.052274338972752e-06
37,CYCCP,0.326827083321029,1.41800003051758,0.0042
38,SIMO,0.432021890010231,0.256862715178845,0.0066
39,TATT,0.342083008881946,0.151093383766208,0.004699999999999999
40,AVT,0.417436546159288,0.0674732795897097,0.0021
41,IRIX,0.783318778644926,0.0090909002241026,2.785938608043767e-05
42,MSFT,0.304314869646017,0.560712932760807,0.0004
43,BGNE,0.632999171274725,0.523809523809524,0.0053
44,BANFP,0.114625019796101,0.0054844466704981,0.0092
45,BILI,0.943798900840618,0.284026753039096,3.849660622024114e-05
46,FLEX,0.377850593675782,0.828504271295763,2.9885523249924044e-05
47,CASY,0.213275884227338,0.476560038515142,3.748353763549795e-05
48,LRGE,0.342107089148713,0.175300804140553,0.0067
49,BRAC,0.0169811602545265,0.0535894554674127,0.009000000000000001
50,DSWL,0.363571736233363,0.178707136783362,0.0004
51,PRTH,0.690274964716696,0.971311405729589,4.4068483436328674e-05
52,QCRH,0.385359971811496,0.192648099325127,3.2924729004153605e-05
53,CBSH,0.266158746138179,0.0761459941027634,0.0079
54,MNKD,0.541854210601148,3.11278166442873,0.0043
55,MGI,0.442880576853821,4.05633797141395,0.0053
56,CFO,0.188013773901362,0.231191977584009,4.558808631344346e-05
57,CSGP,0.413207425791138,0.28751817141687,2.53267146185797e-06
58,JAZZ,0.349270136118814,0.0478229510933901,0.0043
59,FYX,0.379737726885921,0.334814553461233,3.34312632965252e-05
60,CVCO,0.395575648468619,0.356407462728824,4.052274338972752e-05
61,FTNT,0.333633350042805,1.43215608918379,4.710768919055824e-05
62,SENEB,0.286730390417753,0.582195188941025,4.457501772870027e-05
63,TUSK,0.774612632260302,1.92825119011497,0.0015
64,GOGL,0.508528687188976,0.654576854373602,0.009399999999999999
65,STAA,0.717409068392657,0.998583699052583,0.0059
66,ARTNA,0.119487692802752,0.585037722490217,0.0060999999999999995
67,MBCN,0.396424435617748,0.0260279339155147,5.06534292371594e-07
68,ROST,0.485763617034712,0.0146806235850856,2.330057744909332e-05
69,NDLS,0.669992426985783,0.133333287511146,0.0023
70,VXRT,0.939449544826702,2.17647068104529,2.4820180326208104e-05
71,VRTX,0.396287330969789,0.467035951892692,0.0074
72,BOSC,0.508271662974577,0.128712867781317,6.078411508459127e-06
73,EYE,0.568581898864798,0.254578772279912,4.8120757775301424e-05
74,CLRG,0.306021403014297,0.224519191566359,0.0012
75,CNTY,0.714323061277253,0.105263117010401,0.005699999999999999
76,WRLD,0.731670163557244,0.0931932833443586,2.6557711950970387e-05
77,NAVI,0.480121196912411,0.377632438832564,0.0062
78,FTRI,0.3183193753267,0.177600021362305,3.728294177732381e-05
79,ATRC,0.551067602101167,0.32193025535983,0.0085
80,CRVL,0.409812816490696,1.02961957324758,1.2768130745658837e-05
81,ALT,0.858855889748089,6.2169314532073,0.0098
82,AVGO,0.320230068359582,0.832049343440107,0.0067
83,KLIC,0.481045370537694,0.858181762695313,0.009399999999999999
84,ACMR,0.851867395007915,1.00053401692388,0.001
85,GPRE,0.689015271772095,1.20481924213554,3.064351378958121e-05
86,QRHC,0.491486069858359,2.2093022275835,0.0062
87,PTSI,0.476483589620624,1.02306079063797,0.0023
88,LOVE,0.778156369305387,0.583999985914964,0.0043
