Unnamed: 0,ticker,risk,return,value
0,LMB,0.665555397745964,2.45967736198304,0.3
1,GECCM,0.0117332202251645,0.202107346279615,0.77
2,OXBR,0.81053226704833,2.0405405013556,0.0024521072796934865
3,LIVE,0.630844100227563,3.72954206570089,0.68
4,NVEE,0.330512695490454,1.61096954511547,0.04
5,ANAB,0.468864449187136,0.520464148663662,0.0004086845466155811
6,FNK,0.430868620950918,0.331227723807535,0.26
7,ADRA,0.0262797047435996,0.0897369189585047,0.00495530012771392
8,HDSN,0.262239439000716,9.52577292474453,0.75
9,GNPX,0.775387267371894,3.32352945043554,0.67
10,PLUS,0.284411744479338,0.171294088924632,0.001992337164750958
11,PIZ,0.405818591556792,0.0314661080571035,0.31
12,LANC,0.394168659869175,0.19428714136766,0.64
13,MRUS,0.518858863193706,0.106382975845256,0.59
14,IGF,0.300323947915559,0.0035350003827389,0.0030140485312899106
15,VIRC,0.548001982501686,0.139534855353118,0.0015325670498084292
16,LNGR,0.148413400052555,0.194985487450361,0.07
17,FNCB,0.285201700645252,0.0212234795800594,0.78
18,ARTW,0.673250499563896,0.36612018654234,0.004904214559386973
19,SGRY,0.644241150532304,1.07759710350363,0.27
20,CRAI,0.38693227715798,1.17297493731976,0.0
21,AVHI,0.0020262922311292,0.0609136451328628,0.31
22,ESGD,0.327092718872789,0.0359514551973568,0.85
23,IBB,0.325855351744248,0.125721348856792,0.0007662835249042146
24,RYTM,0.908074242584484,0.181936089147202,0.0026053639846743294
25,GOLD,0.582278038851688,0.0448957880112887,0.54
26,BL,0.603017704879153,0.379177893925186,0.0017369093231162198
27,HEES,0.569423920999721,0.510537294866599,0.09
28,CHMG,0.385553717438574,0.221596309378765,0.0012260536398467432
29,FCBC,0.391971083066592,0.0497255099232324,5.108556832694764e-05
30,RDVT,0.567607207833069,0.270710891603466,0.0008684546615581099
31,ATSG,0.291320235978941,0.197546539630575,0.0014814814814814814
32,HMNF,0.341440746413373,0.0220037125432814,0.0005108556832694764
33,SBAC,0.337246105737651,0.233796418452385,0.004086845466155811
34,RBBN,0.759176673106039,0.132258096272195,0.003627075351213282
35,AZPN,0.230924613819555,0.626565152867613,0.001685823754789272
36,PLPC,0.265135346826897,0.458794433427358,0.63
37,CYCCP,0.326827083321029,1.41800003051758,0.21
38,SIMO,0.432021890010231,0.256862715178845,0.7
39,TATT,0.342083008881946,0.151093383766208,0.87
40,AVT,0.417436546159288,0.0674732795897097,0.004291187739463602
41,IRIX,0.783318778644926,0.0090909002241026,0.0018901660280970626
42,MSFT,0.304314869646017,0.560712932760807,0.33
43,BGNE,0.632999171274725,0.523809523809524,0.000561941251596424
44,BANFP,0.114625019796101,0.0054844466704981,0.14
45,BILI,0.943798900840618,0.284026753039096,0.87
46,FLEX,0.377850593675782,0.828504271295763,0.0026958452267681595
47,CASY,0.213275884227338,0.476560038515142,0.12
48,LRGE,0.342107089148713,0.175300804140553,0.53
49,BRAC,0.0169811602545265,0.0535894554674127,0.21
50,DSWL,0.363571736233363,0.178707136783362,0.85
51,PRTH,0.690274964716696,0.971311405729589,0.0010043344962469612
52,QCRH,0.385359971811496,0.192648099325127,0.87
53,CBSH,0.266158746138179,0.0761459941027634,0.91
54,MNKD,0.541854210601148,3.11278166442873,0.68
55,MGI,0.442880576853821,4.05633797141395,0.6
56,CFO,0.188013773901362,0.231191977584009,0.1
57,CSGP,0.413207425791138,0.28751817141687,0.0013214927582196859
58,JAZZ,0.349270136118814,0.0478229510933901,0.0001585791309863623
59,FYX,0.379737726885921,0.334814553461233,0.34
60,CVCO,0.395575648468619,0.356407462728824,0.05
61,FTNT,0.333633350042805,1.43215608918379,0.84
62,SENEB,0.286730390417753,0.582195188941025,0.83
63,TUSK,0.774612632260302,1.92825119011497,0.61
64,GOGL,0.508528687188976,0.654576854373602,0.76
65,STAA,0.717409068392657,0.998583699052583,0.42
66,ARTNA,0.119487692802752,0.585037722490217,0.005021672481234806
67,MBCN,0.396424435617748,0.0260279339155147,0.0035416005920287583
68,ROST,0.485763617034712,0.0146806235850856,0.01
69,NDLS,0.669992426985783,0.133333287511146,0.004863093350248445
70,VXRT,0.939449544826702,2.17647068104529,0.0004228776826302995
71,VRTX,0.396287330969789,0.467035951892692,0.2
72,BOSC,0.508271662974577,0.128712867781317,0.22
73,EYE,0.568581898864798,0.254578772279912,0.0013214927582196859
74,CLRG,0.306021403014297,0.224519191566359,0.52
75,CNTY,0.714323061277253,0.105263117010401,0.0018500898615075602
76,WRLD,0.731670163557244,0.0931932833443586,0.0004228776826302995
77,NAVI,0.480121196912411,0.377632438832564,0.0026429855164393718
78,FTRI,0.3183193753267,0.177600021362305,0.43
79,ATRC,0.551067602101167,0.32193025535983,0.005021672481234806
80,CRVL,0.409812816490696,1.02961957324758,0.001955809282165135
81,ALT,0.858855889748089,6.2169314532073,0.96
82,AVGO,0.320230068359582,0.832049343440107,0.39
83,KLIC,0.481045370537694,0.858181762695313,0.38
84,ACMR,0.851867395007915,1.00053401692388,0.69
85,GPRE,0.689015271772095,1.20481924213554,0.004228776826302995
86,QRHC,0.491486069858359,2.2093022275835,0.51
87,PTSI,0.476483589620624,1.02306079063797,0.47
88,LOVE,0.778156369305387,0.583999985914964,0.54
89,SIFY,0.725946179710561,0.376000022888184,0.53
90,EFSC,0.427015408594389,0.101652851525524,0.0014800718892060483
91,IDCC,0.520633052740121,0.270662995779857,0.00021143884131514975
92,MARA,0.946425396492001,7.19318190592626,0.82
93,PDP,0.319071514331727,0.167645214299692,0.24
